実行日時,結果,所要秒,アクション,備考
2026-08-10T09:18:31,成功,3,新規売(ショート)]（通知対象）,
2026-08-10T09:55:57,成功,4,利確設定]（通知対象）,
2026-08-10T10:03:09,成功,4,継続]（変化なし・通知なし）,
2026-08-10T11:03:09,成功,4,継続]（変化なし・通知なし）,
2026-08-10T12:16:32,成功,3,継続]（変化なし・通知なし）,
2026-08-10T13:04:19,成功,3,継続]（変化なし・通知なし）,
2026-08-10T14:11:31,成功,5,継続]（変化なし・通知なし）,
2026-08-10T15:12:30,成功,4,決済]（通知対象）,
2026-08-10T16:13:30,成功,3,待機]（変化なし・通知なし）,
2026-08-10T17:03:13,成功,7,新規買(ロング)]（通知対象）,
2026-08-10T18:13:43,成功,3,継続]（変化なし・通知なし）,
2026-08-10T19:04:44,成功,4,ストップ変更]（通知対象）,
2026-08-10T20:07:37,成功,4,継続]（変化なし・通知なし）,
2026-08-10T21:15:23,成功,2,継続]（変化なし・通知なし）,
2026-08-10T22:03:04,成功,3,継続]（変化なし・通知なし）,
2026-08-10T23:03:07,成功,3,継続]（変化なし・通知なし）,
2026-08-11T00:03:09,成功,3,継続]（変化なし・通知なし）,
2026-08-11T01:03:08,成功,4,ストップ変更]（通知対象）,
2026-08-11T02:03:06,成功,3,継続]（変化なし・通知なし）,
2026-08-11T03:03:06,成功,3,継続]（変化なし・通知なし）,
2026-08-11T04:03:04,成功,3,継続]（変化なし・通知なし）,
2026-08-11T05:03:03,成功,3,ストップ変更]（通知対象）,
2026-08-11T06:03:04,成功,3,継続]（変化なし・通知なし）,
2026-08-11T07:03:08,成功,4,継続]（変化なし・通知なし）,
2026-08-11T08:03:09,成功,4,継続]（変化なし・通知なし）,
2026-08-11T09:03:07,成功,3,継続]（変化なし・通知なし）,
2026-08-11T10:03:04,成功,3,継続]（変化なし・通知なし）,
2026-08-11T11:03:04,成功,2,継続]（変化なし・通知なし）,
2026-08-11T12:03:07,成功,2,継続]（変化なし・通知なし）,
2026-08-11T13:03:07,成功,3,継続]（変化なし・通知なし）,
2026-08-11T14:03:05,成功,3,継続]（変化なし・通知なし）,
2026-08-11T15:03:09,成功,3,継続]（変化なし・通知なし）,
2026-08-11T16:03:07,成功,3,継続]（変化なし・通知なし）,
2026-08-11T17:03:09,成功,4,ストップ変更]（通知対象）,
2026-08-11T18:03:09,成功,4,継続]（変化なし・通知なし）,
2026-08-11T19:03:04,成功,3,継続]（変化なし・通知なし）,
2026-08-11T20:03:06,成功,3,継続]（変化なし・通知なし）,
2026-08-11T21:03:06,成功,3,継続]（変化なし・通知なし）,
2026-08-11T22:03:08,成功,3,継続]（変化なし・通知なし）,
2026-08-11T23:03:06,成功,3,継続]（変化なし・通知なし）,
2026-08-12T00:03:08,成功,3,継続]（変化なし・通知なし）,
2026-08-12T01:03:04,成功,3,継続]（変化なし・通知なし）,
2026-08-12T02:03:05,成功,3,継続]（変化なし・通知なし）,
2026-08-12T03:03:09,成功,3,継続]（変化なし・通知なし）,
2026-08-12T04:03:09,成功,4,継続]（変化なし・通知なし）,
2026-08-12T05:03:08,成功,3,継続]（変化なし・通知なし）,
2026-08-12T06:03:08,成功,3,継続]（変化なし・通知なし）,
2026-08-12T07:03:04,成功,3,ストップ変更]（通知対象）,
2026-08-12T08:30:03,成功,2,継続]（変化なし・通知なし）,
2026-08-12T09:34:00,成功,8,継続]（変化なし・通知なし）,
2026-08-12T10:03:07,成功,3,継続]（変化なし・通知なし）,
2026-08-12T11:06:20,成功,3,継続]（変化なし・通知なし）,
2026-08-12T12:08:56,成功,4,継続]（変化なし・通知なし）,
2026-08-12T13:15:18,成功,3,ストップ変更]（通知対象）,
2026-08-12T14:07:49,成功,7,継続]（変化なし・通知なし）,
2026-08-12T15:03:45,成功,6,継続]（変化なし・通知なし）,
2026-08-12T16:04:45,成功,3,継続]（変化なし・通知なし）,
2026-08-12T17:06:47,成功,7,継続]（変化なし・通知なし）,
2026-08-12T18:06:44,成功,4,継続]（変化なし・通知なし）,
2026-08-12T19:07:46,成功,8,ストップ決済確認]（通知対象）,
2026-08-12T20:03:11,成功,6,待機]（変化なし・通知なし）,
2026-08-12T21:08:12,成功,3,待機]（変化なし・通知なし）,
2026-08-12T22:03:06,成功,5,待機]（変化なし・通知なし）,
2026-08-12T23:03:04,成功,3,待機]（変化なし・通知なし）,
2026-08-13T00:03:03,成功,3,待機]（変化なし・通知なし）,
2026-08-13T01:03:04,成功,3,待機]（変化なし・通知なし）,
2026-08-13T02:03:05,成功,3,待機]（変化なし・通知なし）,
2026-08-13T03:03:06,成功,4,新規買(ロング)]（通知対象）,
2026-08-13T04:03:03,成功,3,継続]（変化なし・通知なし）,
2026-08-13T05:03:03,成功,3,継続]（変化なし・通知なし）,
2026-08-13T06:03:05,成功,4,継続]（変化なし・通知なし）,
2026-08-13T07:03:04,成功,3,継続]（変化なし・通知なし）,
